id,last_sale,decimals,payment_token,date
2208,95,0,WETH,02/02/2022
4104,103,0,WETH,02/03/2022
7985,140,0,WETH,02/04/2022
5411,119,0,WETH,02/04/2022
7370,107,0,WETH,02/04/2022
5701,10977,2,WETH,02/04/2022
1791,99,0,WETH,02/04/2022
3511,110,0,WETH,02/04/2022
9917,133,0,WETH,02/05/2022
1606,1361,1,WETH,02/05/2022
7448,11788,2,WETH,02/05/2022
2945,100,0,WETH,02/06/2022
9241,99,0,WETH,02/06/2022
7245,101,0,WETH,02/06/2022
2664,159,0,WETH,02/06/2022
6578,108,0,WETH,02/06/2022
2671,1058,1,WETH,02/07/2022
995,110,0,WETH,02/07/2022
6175,102,0,WETH,02/07/2022
8057,9025,2,WETH,02/07/2022
1544,95,0,WETH,02/09/2022
447,93,0,WETH,02/09/2022
2568,92,0,WETH,02/09/2022
7683,115,0,WETH,02/09/2022
9995,90,0,WETH,02/09/2022
1289,140,0,WETH,02/10/2022
8057,8999,2,WETH,02/10/2022
2821,99,0,WETH,02/10/2022
2361,190,0,WETH,02/11/2022
511,115,0,WETH,02/11/2022
5816,109,0,WETH,02/12/2022
959,100,0,WETH,02/12/2022
4250,1139,1,WETH,02/12/2022
7957,96,0,WETH,02/12/2022
8157,11388,2,WETH,02/13/2022
1579,102,0,WETH,02/13/2022
55,220,0,WETH,02/17/2022
1528,781,1,WETH,02/18/2022
4429,8027,2,WETH,02/20/2022
1277,80269,3,WETH,02/20/2022
3771,105,0,WETH,02/20/2022
8911,72,0,WETH,02/20/2022
5957,89,0,WETH,02/20/2022
403,8244,2,WETH,02/21/2022
5957,80257,3,WETH,02/22/2022
9415,85,0,WETH,02/22/2022
4429,72,0,WETH,02/24/2022
4547,8888,2,WETH,02/26/2022
2361,137,0,WETH,02/27/2022
3860,80,0,WETH,02/28/2022
740,88,0,WETH,03/01/2022
6166,7769,2,WETH,03/02/2022
2892,7319,2,WETH,03/02/2022
7139,75,0,WETH,03/05/2022
7019,60,0,WETH,03/07/2022
4049,66,0,WETH,03/07/2022
2942,82,0,WETH,03/08/2022
2892,80,0,WETH,03/10/2022
8016,140,0,WETH,03/10/2022
6166,7369,2,WETH,03/10/2022
