id,last_sale,decimals,payment_token,date
149,397134828934945826,18,ETH,05/24/2021
150,55000000000000000000,18,ETH,08/29/2021
151,,,,
152,86000000000000000000,18,ETH,03/18/2022
153,,,,
154,65500000000000000000,18,ETH,01/06/2022
155,,,,
156,31000000000000000000,18,ETH,11/10/2021
157,49990000000000000000,18,ETH,11/15/2021
158,37000000000000000000,18,WETH,08/30/2021
159,20000000000000000000,18,ETH,08/19/2021
160,46000000000000000000,18,ETH,11/16/2021
161,32369000000000000000,18,WETH,08/25/2021
162,62990000000000000000,18,ETH,11/16/2021
163,69690000000000000000,18,ETH,11/19/2021
164,,,,
165,,,,
166,35000000000000000000,18,ETH,08/23/2021
167,93750000000000000000,18,ETH,02/09/2022
168,53500000000000000000,18,ETH,11/17/2021
169,86690000000000000000,18,ETH,01/15/2022
170,22500000000000000000,18,ETH,08/21/2021
171,60240000000000000000,18,ETH,12/30/2021
172,4200000000000000000,18,ETH,06/29/2021
173,3690000000000000000,18,ETH,06/02/2021
174,5200000000000000000,18,ETH,07/15/2021
175,69400000000000000000,18,ETH,01/01/2022
176,95000000000000000000,18,ETH,01/29/2022
177,8700000000000000000,18,ETH,07/21/2021
178,1450000000000000000,18,ETH,06/05/2021
179,16500000000000000000,18,ETH,08/16/2021
180,6990000000000000000,18,ETH,07/26/2021
181,106,0,WETH,04/03/2022
182,6300000000000000000,18,ETH,07/17/2021
183,3190000000000000000,18,ETH,07/06/2021
184,4780000000000000000,18,ETH,06/20/2021
185,36000000000000000000,18,ETH,08/02/2021
186,1649999999999998600,18,WETH,06/18/2021
187,,,,
188,8690000000000000000,18,ETH,08/01/2021
189,41950000000000000000,18,ETH,10/18/2021
190,115000000000000000000,18,ETH,01/30/2022
191,49000000000000000000,18,ETH,08/29/2021
192,44800000000000000000,18,WETH,09/05/2021
193,1589999999999999900,18,ETH,05/07/2021
194,319900000000000000,18,ETH,05/16/2021
195,108,0,WETH,03/17/2022
196,11000000000000000000,18,ETH,08/01/2021
197,109000000000000000000,18,WETH,06/26/2021
198,113000000000000000000,18,ETH,03/21/2022
199,,,,
200,33000000000000000000,18,ETH,08/05/2021
201,350000000000000000,18,ETH,05/02/2021
202,50000000000000000000,18,ETH,11/13/2021
203,111,0,WETH,01/30/2022
204,,,,
205,40680000000000000000,18,ETH,08/27/2021
206,140000000000000000,18,ETH,05/01/2021
207,80000000000000000000,18,ETH,08/29/2021
208,150000000000000000000,18,ETH,01/11/2022
209,105,0,WETH,03/19/2022
210,95000000000000000000,18,ETH,01/22/2022
211,147800000000000000000,18,ETH,10/23/2021
212,90000000000000000000,18,ETH,01/01/2022
213,109000000000000000000,18,ETH,03/25/2022
214,119990000000000000000,18,ETH,03/17/2022
215,60000000000000000000,18,WETH,12/10/2021
216,103000000000000000000,18,ETH,03/19/2022
217,55000000000000000000,18,ETH,11/17/2021
218,17000000000000000000,18,ETH,08/06/2021
219,61000000000000000000,18,ETH,12/27/2021
220,16180000000000000000,18,ETH,08/05/2021
221,3100000000000000000,18,ETH,06/27/2021
222,12397,2,WETH,03/26/2022
223,1750000000000000000,18,ETH,05/05/2021
224,120000000000000000000,18,ETH,01/10/2022
225,,,,
226,4000000000000000000,18,ETH,07/04/2021
227,,,,
228,99990000000000000000,18,ETH,01/28/2022
229,6450000000000000000,18,WETH,06/23/2021
230,110690000000000000000,18,ETH,03/29/2022
231,,,,
232,108069,2,WETH,01/30/2022
233,,,,
234,,,,
235,,,,
236,600000000000000000,18,ETH,05/01/2021
