id,last_sale,decimals,payment_token,date
339,239000000000000000000,18.0,ETH,08/28/2021
340,140000000000000000000,18.0,ETH,12/30/2021
341,125000000000000000000,18.0,ETH,08/28/2021
342,147690000000000000000,18.0,ETH,08/28/2021
343,,,,
344,15000000000000000000,18.0,ETH,05/14/2020
345,,,,
346,470000000000000000,18.0,ETH,07/11/2017
347,,,,
348,,,,
349,57690000000000000000,18.0,ETH,12/24/2021
350,,,,
351,,,,
352,27990000000000000000,18.0,ETH,07/31/2021
353,100000000000000000000,18.0,ETH,08/27/2021
354,,,,
355,750000000000000000,18.0,ETH,11/29/2018
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,360000000000000000000,18.0,ETH,10/26/2021
365,39890000000000000000,18.0,ETH,08/05/2021
366,,,,
367,,,,
368,70000000000000000000,18.0,ETH,08/23/2021
369,,,,
370,,,,
371,,,,
372,,,,
373,,,,
374,,,,
375,,,,
376,29900000000000000000,18.0,ETH,05/24/2021
377,,,,
378,,,,
379,,,,
380,,,,
381,40000000000000000000,18.0,ETH,08/03/2021
382,130000000000000000000,18.0,ETH,05/08/2021
383,39700000000000000000,18.0,ETH,04/27/2021
384,48200000000000000000,18.0,ETH,03/16/2021
385,96960000000000000000,18.0,ETH,01/20/2022
386,,,,
387,140000000000000000000,18.0,ETH,12/31/2021
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,114900000000000000000,18.0,ETH,11/06/2021
400,,,,
401,,,,
402,20990000000000000000,18.0,ETH,07/25/2021
403,,,,
404,950000000000000000,18.0,ETH,07/07/2017
405,,,,
406,315000000000000000000,18.0,ETH,08/28/2021
407,90000000000000000000,18.0,ETH,04/24/2021
408,,,,
409,,,,
410,27000000000000000000,18.0,ETH,04/25/2021
411,24990000000000000000,18.0,ETH,02/22/2021
412,,,,
413,,,,
414,,,,
415,,,,
416,65000000000000000000,18.0,ETH,03/22/2021
417,,,,
418,105000000000000000000,18.0,ETH,01/25/2022
419,,,,
420,,,,
421,,,,
422,115000000000000000000,18.0,ETH,08/27/2021
423,64950000000000000000,18.0,ETH,03/17/2022
424,,,,
425,,,,
426,19950000000000000000,18.0,ETH,04/03/2021
427,,,,
428,,,,
429,,,,
430,34400000000000000000,18.0,ETH,08/02/2021
431,26990000000000000000,18.0,ETH,02/23/2021
432,145000000000000000000,18.0,ETH,08/29/2021
433,,,,
434,72950000000000000000,18.0,ETH,03/01/2022
435,50000000000000000000,18.0,ETH,08/06/2021
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,59950000000000000000,18.0,ETH,01/15/2022
442,,,,
443,,,,
444,,,,
445,161000000000000000000,18.0,ETH,03/12/2022
446,24990000000000000000,18.0,ETH,02/21/2021
447,30000000000000000000,18.0,ETH,07/31/2021
448,,,,
449,36950000000000000000,18.0,ETH,08/04/2021
450,,,,
451,,,,
452,,,,
453,70000000000000000000,18.0,ETH,04/15/2021
454,,,,
455,,,,
456,,,,
457,149950000000000000000,18.0,ETH,01/28/2022
458,,,,
459,,,,
460,2500000000000000000,18.0,ETH,03/27/2019
461,,,,
462,,,,
463,,,,
464,,,,
465,14000000000000000000,18.0,ETH,01/27/2021
466,,,,
467,,,,
468,,,,
469,,,,
470,18990000000000000000,18.0,ETH,03/11/2021
471,14990000000000000000,18.0,ETH,02/18/2021
472,,,,
473,29990000000000000000,18.0,ETH,07/29/2021
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,135000000000000000000,18.0,ETH,08/23/2021
481,,,,
482,,,,
483,81500000000000000000,18.0,ETH,08/27/2021
484,,,,
485,16000000000000000000,18.0,ETH,01/28/2021
486,40000000000000000000,18.0,ETH,04/08/2021
487,,,,
488,27250000000000000000,18.0,ETH,02/23/2021
489,72990000000000000000,18.0,ETH,03/22/2022
490,102500000000000000000,18.0,ETH,12/05/2021
491,,,,
492,,,,
493,,,,
494,110000000000000000000,18.0,ETH,09/28/2021
495,,,,
