id,Background,Earring,Fur,Eyes,Mouth,Clothes,Hat
79,Army Green,,Dark Brown,Bored,Bored,Lab Coat,
80,Orange,Diamond Stud,Brown,Sad,Bored Unshaven,Tanktop,Horns
81,Blue,,Red,Blindfold,Discomfort,Cowboy Shirt,
82,Army Green,Silver Hoop,Cream,Sad,Jovial,Service,
83,Blue,,Cream,Coins,Bored Unshaven,Tweed Suit,Ww2 Pilot Helm
84,New Punk Blue,,Brown,Coins,Bored Unshaven,Hawaiian,Ww2 Pilot Helm
85,Blue,,Tan,Bloodshot,Grin,Admirals Coat,Bowler
86,New Punk Blue,Gold Hoop,Zombie,Bored,Bored,Tuxedo Tee,
87,Aquamarine,,Cheetah,Sunglasses,Bored Unshaven,Guayabera,Bunny Ears
88,Blue,Gold Hoop,Black,Wide Eyed,Bored Unshaven,Pimp Coat,Horns
89,Gray,,Black,3d,Bored Dagger,,Commie Hat
90,Army Green,Silver Hoop,Golden Brown,Hypnotized,Grin,Tweed Suit,Prussian Helmet
91,Army Green,,Brown,Sleepy,Bored Cigarette,Black Holes T,Beanie
92,Blue,,Pink,Heart,Jovial,,Beanie
93,Purple,,White,Bored,Bored Unshaven Cigarette,Hip Hop,Fez
94,Aquamarine,,Zombie,Closed,Bored Unshaven Kazoo,Black Holes T,Beanie
95,Yellow,,Tan,Scumbag,Bored,Lumberjack Shirt,S&m Hat
96,Yellow,,Robot,Sleepy,Bored Unshaven Cigarette,Stunt Jacket,Girl's Hair Short
97,Blue,,Dark Brown,Heart,Bored,,Commie Hat
98,Gray,,Death Bot,Bored,Rage,Stunt Jacket,Spinner Hat
99,Army Green,Silver Hoop,Dark Brown,Closed,Grin,Black Holes T,Sushi Chef Headband
100,Yellow,,Dark Brown,Wide Eyed,Bored Cigarette,,Party Hat 2
101,Army Green,,Gray,Eyepatch,Bored,Navy Striped Tee,Fisherman's Hat
102,Aquamarine,,Gray,Bored,Bored,Biker Vest,Irish Boho
103,Purple,,Black,Sleepy,Phoneme L,Leather Jacket,Short Mohawk
104,Aquamarine,,Brown,Holographic,Bored Pipe,Bayc T Black,Laurel Wreath
105,Aquamarine,Silver Hoop,Black,Coins,Rage,Striped Tee,Seaman's Hat
106,New Punk Blue,,Cheetah,Crazy,Bored,Tuxedo Tee,Bunny Ears
107,Blue,,Red,Zombie,Bored,Space Suit,Short Mohawk
108,Purple,Gold Stud,Dark Brown,X Eyes,Grin,,Sea Captain's Hat
109,Orange,Silver Stud,Dark Brown,Eyepatch,Bored Cigarette,Bayc T Black,
110,Yellow,Cross,Tan,Bloodshot,Bored Unshaven,Striped Tee,Beanie
111,Orange,,Brown,Angry,Bored Unshaven,Leather Jacket,Bayc Flipped Brim
112,New Punk Blue,,Cream,X Eyes,Bored,,Cowboy Hat
113,Gray,,Black,Zombie,Bored,Navy Striped Tee,Horns
114,Yellow,Silver Hoop,Dark Brown,Holographic,Bored Cigarette,Bone Tee,Seaman's Hat
115,Purple,,Cream,Bloodshot,Bored Cigar,Sleeveless T,Bayc Hat Black
116,Aquamarine,,Black,Coins,Bored Unshaven Cigarette,Sleeveless T,
117,Blue,,Tan,Cyborg,Bored Cigarette,Navy Striped Tee,Beanie
118,New Punk Blue,,Tan,Blue Beams,Bored Kazoo,Navy Striped Tee,
119,Blue,Silver Stud,Gray,Angry,Phoneme L,Hawaiian,Beanie
120,Aquamarine,Silver Hoop,Brown,Heart,Bored Pizza,Work Vest,Sea Captain's Hat
121,Blue,Gold Stud,Brown,Cyborg,Bored Unshaven,,Seaman's Hat
122,Orange,Silver Stud,Pink,Heart,Bored Cigarette,Service,
123,New Punk Blue,,White,Coins,Bored Cigar,Black Holes T,Spinner Hat
124,Gray,,White,Eyepatch,Bored Cigarette,Hawaiian,Short Mohawk
125,Orange,,Golden Brown,Coins,Bored Cigarette,,Army Hat
126,Army Green,Silver Hoop,Zombie,Coins,Grin,Navy Striped Tee,Safari
127,Orange,,Cream,Crazy,Grin,,S&m Hat
128,Yellow,,Gray,Hypnotized,Bored,Leather Punk Jacket,Trippy Captain's Hat
129,New Punk Blue,,Pink,Bored,Rage,Tanktop,Baby's Bonnet
130,Aquamarine,,Pink,Bored,Bored,Vietnam Jacket,
131,Gray,,Dark Brown,Bored,Bored,Bone Necklace,
132,Army Green,Silver Stud,Red,Wide Eyed,Bored Unshaven Kazoo,Black Holes T,Girl's Hair Pink
133,Aquamarine,,Brown,Bored,Bored Unshaven,Black Holes T,
134,Army Green,,Dark Brown,Laser Eyes,Bored Unshaven,Sleeveless Logo T,Halo
135,Blue,Gold Stud,Pink,Sad,Bored,Lumberjack Shirt,S&m Hat
136,Blue,,Tan,Heart,Phoneme Vuh,Hawaiian,
